code,name,market,catagory,type
002613,北玻股份,A股,沪深A股,股票
688089,嘉必优,A股,沪深A股,股票
600918,中泰证券,A股,沪深A股,股票
002047,宝鹰股份,A股,沪深A股,股票
600511,国药股份,A股,沪深A股,股票
300656,民德电子,A股,沪深A股,股票
300198,纳川股份,A股,沪深A股,股票
002181,粤传媒,A股,沪深A股,股票
002166,莱茵生物,A股,沪深A股,股票
002174,游族网络,A股,沪深A股,股票
000023,深天地Ａ,A股,沪深A股,股票
002951,金时科技,A股,沪深A股,股票
603992,松霖科技,A股,沪深A股,股票
002597,金禾实业,A股,沪深A股,股票
002956,西麦食品,A股,沪深A股,股票
603777,来伊份,A股,沪深A股,股票
600293,三峡新材,A股,沪深A股,股票
002382,蓝帆医疗,A股,沪深A股,股票
000679,大连友谊,A股,沪深A股,股票
002537,海联金汇,A股,沪深A股,股票
601138,工业富联,A股,沪深A股,股票
002631,德尔未来,A股,沪深A股,股票
002626,金达威,A股,沪深A股,股票
600009,上海机场,A股,沪深A股,股票
600029,南方航空,A股,沪深A股,股票
300778,新城市,A股,沪深A股,股票
301077,星华新材,A股,沪深A股,股票
603326,我乐家居,A股,沪深A股,股票
301207,华兰疫苗,A股,沪深A股,股票
600113,浙江东日,A股,沪深A股,股票
300757,罗博特科,A股,沪深A股,股票
000525,ST红太阳,A股,沪深A股,股票
300363,博腾股份,A股,沪深A股,股票
301198,喜悦智行,A股,沪深A股,股票
002035,华帝股份,A股,沪深A股,股票
301326,捷邦科技,A股,沪深A股,股票
688133,泰坦科技,A股,沪深A股,股票
600172,黄河旋风,A股,沪深A股,股票
300206,理邦仪器,A股,沪深A股,股票
002791,坚朗五金,A股,沪深A股,股票
601377,兴业证券,A股,沪深A股,股票
688696,极米科技,A股,沪深A股,股票
300473,德尔股份,A股,沪深A股,股票
300142,沃森生物,A股,沪深A股,股票
000526,学大教育,A股,沪深A股,股票
300860,锋尚文化,A股,沪深A股,股票
300592,华凯易佰,A股,沪深A股,股票
300983,尤安设计,A股,沪深A股,股票
603883,老百姓,A股,沪深A股,股票
688067,爱威科技,A股,沪深A股,股票
688670,金迪克,A股,沪深A股,股票
002596,海南瑞泽,A股,沪深A股,股票
605068,明新旭腾,A股,沪深A股,股票
301010,晶雪节能,A股,沪深A股,股票
603233,大参林,A股,沪深A股,股票
600713,南京医药,A股,沪深A股,股票
